order_month,revenue
2016-09,252.24
2016-10,59271.3
2016-12,19.62
2017-01,139459.77
2017-02,293325.95
2017-03,451859.95
2017-04,418753.06
2017-05,597244.78
2017-06,515436.59
2017-07,596377.93
2017-08,680105.55
2017-09,730663.5
2017-10,784388.93
2017-11,1203518.98
2017-12,881692.79
2018-01,1121631.3
2018-02,1003785.4400000001
2018-03,1164189.28
2018-04,1163314.66
2018-05,1154674.66
2018-06,1024877.86
2018-07,1069017.37
2018-08,1022530.02
2018-09,4439.54
2018-10,589.6700000000001
